Nom de la demande:Toulouse_2010-2013
Pas de temps:Journalier
Date de début:01/01/2010
Date de fin:31/12/2013
Série:31035001

ETPP:EVAPOTRANSPIRATION PENMAN (MILLIMETRES)
RG:RAYONNEMENT GLOBAL (JOULES/CM2)
RR:HAUTEUR DES PRECIPITATIONS (MILLIMETRES)
TM:TEMPERATURE MOYENNE (DEGRES CELSIUS)
TN:TEMPERATURE MINIMALE (DEGRES CELSIUS)
TX:TEMPERATURE MAXIMALE (DEGRES CELSIUS)

NUM_POSTE;AN;MOIS;JOUR;ETPP;RG;RR;TM;TN;TX;
31035002;2010;8;3;4.6;2001;0.0;20.5;16.3;25.8;
31035002;2010;8;4;3.7;1393;0.5;20.3;17.3;24.4;
31035002;2010;8;5;5.7;2320;0.0;19.6;17.3;23.4;
31035002;2010;8;6;5.1;2738;0.0;19.1;12.6;25.0;
31035002;2010;8;7;5.1;2703;0.0;21.6;11.6;30.5;
31035002;2010;8;8;5.2;2526;0.0;22.2;16.6;29.1;
31035002;2010;8;9;3.8;1692;0.0;21.5;15.9;26.8;
31035002;2010;8;10;5.0;2552;0.0;22.1;15.1;28.9;
31035002;2010;8;11;5.0;2223;0.5;22.2;16.9;27.0;
31035002;2010;8;12;4.2;1539;0.0;21.0;18.9;25.4;
31035002;2010;8;13;4.1;1668;0.0;19.4;15.4;23.7;
31035002;2010;8;14;4.5;1776;0.0;19.3;15.3;24.0;
31035002;2010;8;15;4.3;1945;2.0;17.8;15.2;23.7;
31035002;2010;8;16;4.6;2464;0.0;18.4;12.9;24.8;
31035002;2010;8;17;4.5;2541;0.0;20.4;10.4;28.9;
31035002;2010;8;18;4.4;2105;0.0;21.3;15.5;27.8;
31035002;2010;8;19;4.0;1797;1.0;22.9;14.8;30.7;
31035002;2010;8;20;5.2;2327;0.0;25.7;20.1;33.3;
31035002;2010;8;21;5.3;2428;0.0;26.7;17.8;36.2;
31035002;2010;8;22;6.2;2374;0.0;28.3;18.6;37.1;
31035002;2010;8;23;4.4;1817;0.0;24.5;20.7;30.3;
31035002;2010;8;24;3.5;1295;0.5;21.6;19.7;25.6;
31035002;2010;8;25;4.5;2331;0.0;23.2;13.0;32.7;
31035002;2010;8;26;6.5;2322;0.5;28.0;17.1;38.6;
31035002;2010;8;27;5.6;2012;0.0;24.4;18.8;32.4;
31035002;2010;8;28;5.4;2036;0.0;20.9;18.5;25.0;
31035002;2010;8;29;4.8;2427;0.0;19.7;12.6;25.7;
31035002;2010;8;30;4.7;2107;0.0;18.0;13.2;23.9;
31035002;2010;8;31;4.0;2449;0.0;17.4;7.4;26.7;
31035002;2010;9;1;5.1;2265;0.0;19.7;9.4;28.5;
31035002;2010;9;2;4.4;1889;0.0;21.9;16.7;28.3;
31035002;2010;9;3;4.5;2161;0.0;22.1;17.2;28.8;
31035002;2010;9;4;3.8;1872;0.0;20.6;14.6;27.5;
31035002;2010;9;5;4.2;2249;0.0;22.2;10.4;33.7;
31035002;2010;9;6;3.1;1011;2.5;21.8;16.3;28.3;
31035002;2010;9;7;2.4;762;0.5;19.6;17.2;24.6;
31035002;2010;9;8;4.1;1768;2.0;18.5;14.4;24.0;
31035002;2010;9;9;3.8;1675;0.5;18.5;14.9;23.7;
31035002;2010;9;10;3.8;2002;0.0;18.7;15.0;24.8;
31035002;2010;9;11;3.8;2037;0.0;19.9;9.8;29.9;
31035002;2010;9;12;3.4;1413;0.0;20.7;14.1;26.0;
31035002;2010;9;13;4.3;2081;0.0;19.2;14.2;24.4;
31035002;2010;9;14;3.5;2066;0.0;18.0;9.6;26.4;
31035002;2010;9;15;3.4;1977;0.0;19.7;10.5;29.1;
31035002;2010;9;16;0.9;374;2.5;16.1;13.5;17.5;
31035002;2010;9;17;2.1;890;4.5;17.2;15.2;20.9;
31035002;2010;9;18;2.5;934;0.0;16.2;13.5;21.0;
31035002;2010;9;19;2.9;2005;0.0;14.4;7.3;22.1;
31035002;2010;9;20;3.4;1840;0.0;17.0;5.8;26.8;
31035002;2010;9;21;2.7;669;0.0;19.0;17.7;23.0;
31035002;2010;9;22;3.8;1833;0.0;20.5;11.3;29.5;
31035002;2010;9;23;2.8;1093;17.0;19.7;16.8;23.6;
31035002;2010;9;24;2.3;905;6.5;16.3;14.7;20.6;
31035002;2010;9;25;3.0;1220;0.0;15.0;13.5;19.0;
31035002;2010;9;26;2.9;1515;0.0;12.3;9.1;16.5;
31035002;2010;9;27;2.5;1714;0.0;12.1;6.8;18.2;
31035002;2010;9;28;2.5;1664;0.0;13.4;9.0;19.3;
31035002;2010;9;29;2.2;1742;0.0;13.7;6.1;21.9;
31035002;2010;9;30;1.2;623;0.5;13.8;8.4;17.2;
31035002;2010;10;1;2.2;1312;0.0;15.2;8.1;23.5;
31035002;2010;10;2;3.6;1379;0.0;17.8;14.2;21.8;
31035002;2010;10;3;4.4;1412;0.0;21.1;17.9;25.4;
31035002;2010;10;4;2.2;599;3.5;17.1;14.2;20.7;
31035002;2010;10;5;2.3;1652;0.0;16.8;10.0;22.7;
31035002;2010;10;6;3.3;1560;0.0;18.7;15.0;24.3;
31035002;2010;10;7;4.0;1570;0.0;19.9;15.2;24.2;
31035002;2010;10;8;4.0;1318;0.0;20.0;17.5;24.4;
31035002;2010;10;9;3.5;1177;6.0;18.8;17.4;22.5;
31035002;2010;10;10;0.4;106;62.5;15.4;14.3;17.6;
31035002;2010;10;11;1.7;700;1.5;15.1;13.6;17.6;
31035002;2010;10;12;2.0;980;0.0;16.6;13.2;21.8;
31035002;2010;10;13;2.3;1373;0.0;16.4;14.1;20.8;
31035002;2010;10;14;2.3;1311;0.0;13.6;12.2;17.7;
31035002;2010;10;15;1.6;1199;0.0;9.7;6.7;15.1;
31035002;2010;10;16;0.9;420;0.0;9.8;6.0;12.0;
31035002;2010;10;17;2.2;991;0.0;9.3;8.1;12.5;
31035002;2010;10;18;1.8;1001;0.0;6.7;6.1;10.3;
31035002;2010;10;19;1.7;1104;0.0;10.4;4.6;16.4;
31035002;2010;10;20;1.6;656;0.0;11.2;10.1;15.5;
31035002;2010;10;21;1.1;1327;0.5;7.3;1.4;15.4;
31035002;2010;10;22;1.6;1261;0.0;12.2;2.5;17.8;
31035002;2010;10;23;1.3;1162;0.5;13.1;9.0;18.9;
31035002;2010;10;24;0.6;207;9.5;11.8;10.3;14.5;
31035002;2010;10;25;2.0;966;0.0;8.5;7.5;10.9;
31035002;2010;10;26;1.5;1309;0.0;7.3;3.7;12.7;
31035002;2010;10;27;0.9;1213;0.0;6.6;-0.9;16.9;
31035002;2010;10;28;1.0;1184;0.0;9.4;2.8;19.4;
31035002;2010;10;29;1.2;850;0.0;14.9;6.2;18.2;
31035002;2010;10;30;1.3;741;0.0;13.2;10.2;16.4;
31035002;2010;10;31;1.2;413;6.0;11.9;10.0;16.3;
31035002;2010;11;1;0.8;346;5.0;12.0;10.8;13.8;
31035002;2010;11;2;1.3;898;0.0;13.0;10.6;16.3;
31035002;2010;11;3;0.8;403;1.0;14.4;12.1;16.7;
31035002;2010;11;4;0.7;929;0.5;14.0;9.7;17.7;
31035002;2010;11;5;0.8;359;0.0;14.8;14.1;16.9;
31035002;2010;11;6;0.7;388;0.0;13.6;10.9;16.6;
31035002;2010;11;7;1.0;508;6.0;10.3;8.6;12.9;
31035002;2010;11;8;0.9;251;5.0;8.6;5.6;12.0;
31035002;2010;11;9;1.1;519;1.0;10.8;8.3;14.5;
31035002;2010;11;10;1.2;388;8.5;9.4;7.9;12.0;
31035002;2010;11;11;0.7;654;0.5;10.2;3.2;15.9;
31035002;2010;11;12;1.1;479;0.5;14.3;11.6;18.3;
31035002;2010;11;13;0.7;955;0.5;12.2;5.1;19.1;
31035002;2010;11;14;1.7;790;1.0;14.4;13.2;20.3;
31035002;2010;11;15;0.8;500;5.5;9.8;8.3;13.6;
31035002;2010;11;16;1.0;684;0.0;7.8;7.0;12.0;
31035002;2010;11;17;0.3;252;7.5;4.9;-0.5;9.3;
31035002;2010;11;18;0.9;537;0.0;9.4;7.1;12.4;
31035002;2010;11;19;0.5;523;0.0;8.4;3.4;12.3;
31035002;2010;11;20;0.7;465;1.5;8.5;6.6;12.9;
31035002;2010;11;21;0.4;384;11.0;7.6;3.3;12.2;
31035002;2010;11;22;0.8;302;2.0;7.8;7.2;9.5;
31035002;2010;11;23;0.7;383;0.0;6.4;5.9;9.6;
31035002;2010;11;24;0.2;623;0.0;2.7;-0.6;8.6;
31035002;2010;11;25;0.4;276;4.5;4.9;0.5;8.7;
31035002;2010;11;26;0.5;653;0.0;2.7;1.4;6.8;
31035002;2010;11;27;0.5;358;0.5;2.9;-1.4;7.9;
31035002;2010;11;28;0.3;646;0.5;2.8;-2.4;8.5;
31035002;2010;11;29;0.2;755;0.0;2.7;-2.3;8.5;
31035002;2010;11;30;0.6;420;0.0;5.3;0.9;9.2;
31035002;2010;12;1;0.5;202;0.0;2.2;0.9;5.7;
31035002;2010;12;2;0.2;576;0.5;1.5;-2.6;7.0;
31035002;2010;12;3;0.4;419;1.0;1.9;-0.8;4.3;
31035002;2010;12;4;0.1;782;0.0;2.5;-1.9;8.0;
31035002;2010;12;5;1.0;240;0.5;8.3;1.1;11.4;
31035002;2010;12;6;1.1;346;0.5;11.7;9.9;15.0;
31035002;2010;12;7;0.4;552;0.0;12.1;9.2;15.0;
31035002;2010;12;8;0.8;600;0.0;13.5;11.3;17.6;
31035002;2010;12;9;0.8;263;0.0;5.5;4.9;6.5;
31035002;2010;12;10;0.0;835;0.0;0.6;-3.4;6.6;
31035002;2010;12;11;0.0;804;0.5;1.3;-4.6;10.9;
31035002;2010;12;12;0.2;597;0.0;3.0;-3.1;11.3;
31035002;2010;12;13;0.0;744;0.0;0.6;-4.2;6.4;
31035002;2010;12;14;0.2;817;0.5;0.0;-5.1;5.6;
31035002;2010;12;15;0.7;390;0.0;-1.7;-2.9;0.6;
31035002;2010;12;16;1.0;175;0.0;1.5;-3.1;7.2;
31035002;2010;12;17;0.8;146;3.5;3.8;2.4;7.7;
31035002;2010;12;18;0.0;622;0.5;0.2;-3.9;6.4;
31035002;2010;12;19;0.1;385;0.0;3.8;-2.1;9.8;
31035002;2010;12;20;0.2;641;0.5;7.1;2.7;12.0;
31035002;2010;12;21;0.5;404;0.0;8.9;5.6;12.5;
31035002;2010;12;22;0.0;341;0.0;10.7;2.4;14.9;
31035002;2010;12;23;0.4;139;18.0;7.8;6.1;9.8;
31035002;2010;12;24;0.7;225;0.5;2.4;0.7;4.2;
31035002;2010;12;25;0.9;173;0.0;0.0;-0.7;0.8;
31035002;2010;12;26;0.2;774;0.0;-2.9;-5.3;2.3;
31035002;2010;12;27;0.5;678;0.0;-0.2;-7.3;6.1;
31035002;2010;12;28;0.5;524;0.0;5.8;2.2;11.3;
31035002;2010;12;29;0.5;402;0.0;8.1;4.7;10.5;
31035002;2010;12;30;1.0;417;0.0;10.7;7.9;12.8;
31035002;2010;12;31;0.8;637;0.0;10.2;9.4;13.5;
31035002;2011;1;1;0.1;169;0.0;6.5;3.1;9.1;
31035002;2011;1;2;0.1;146;0.0;3.0;1.2;3.9;
31035002;2011;1;3;0.6;212;0.0;2.0;0.7;3.0;
